user_id	default	template_name	age	category	sex	group	array	scoring	template_core_id
		Full Female		encounter_templates				standardmedical1	
		Full Female		encounter_templates		ros_gen	Denies	standardmedical1	
		Full Female		encounter_templates		ros_eye	Denies	standardmedical1	
		Full Female		encounter_templates		ros_ent	Denies	standardmedical1	
		Full Female		encounter_templates		ros_resp	Denies	standardmedical1	
		Full Female		encounter_templates		ros_cv	Denies	standardmedical1	
		Full Female		encounter_templates		ros_gi	Denies	standardmedical1	
		Full Female		encounter_templates		ros_gu	Denies	standardmedical1	
		Full Female		encounter_templates		ros_mus	Denies	standardmedical1	
		Full Female		encounter_templates		ros_neuro	Denies	standardmedical1	
		Full Female		encounter_templates		ros_psych	Denies	standardmedical1	
		Full Female		encounter_templates		ros_heme	Denies	standardmedical1	
		Full Female		encounter_templates		ros_endocrine	Denies	standardmedical1	
		Full Female		encounter_templates		ros_skin	Denies	standardmedical1	
		Full Female		encounter_templates		pe_gen1	Appearance	standardmedical1	
		Full Female		encounter_templates		pe_eye1	Eyebrows and lashes	standardmedical1	
		Full Female		encounter_templates		pe_eye1	Conjunctiva	standardmedical1	
		Full Female		encounter_templates		pe_eye1	Lids	standardmedical1	
		Full Female		encounter_templates		pe_eye2	Pupils	standardmedical1	
		Full Female		encounter_templates		pe_eye2	Iris	standardmedical1	
		Full Female		encounter_templates		pe_eye3	Cup-to-disc ratio	standardmedical1	
		Full Female		encounter_templates		pe_eye3	Red reflex	standardmedical1	
		Full Female		encounter_templates		pe_ent1	External ear	standardmedical1	
		Full Female		encounter_templates		pe_ent1	Auricle	standardmedical1	
		Full Female		encounter_templates		pe_ent1	External nose	standardmedical1	
		Full Female		encounter_templates		pe_ent2	Tympanic membranes	standardmedical1	
		Full Female		encounter_templates		pe_ent2	External canals	standardmedical1	
		Full Female		encounter_templates		pe_ent3	Weber testing	standardmedical1	
		Full Female		encounter_templates		pe_ent3	Rinne testing	standardmedical1	
		Full Female		encounter_templates		pe_ent4	Nasal mucosa	standardmedical1	
		Full Female		encounter_templates		pe_ent4	Nasal turbinates	standardmedical1	
		Full Female		encounter_templates		pe_ent4	Nasal polyps	standardmedical1	
		Full Female		encounter_templates		pe_ent5	Lips	standardmedical1	
		Full Female		encounter_templates		pe_ent5	Dentition	standardmedical1	
		Full Female		encounter_templates		pe_ent5	Gums	standardmedical1	
		Full Female		encounter_templates		pe_ent6	Oropharynx	standardmedical1	
		Full Female		encounter_templates		pe_ent6	Posterior pharynx	standardmedical1	
		Full Female		encounter_templates		pe_ent6	Tonsils	standardmedical1	
		Full Female		encounter_templates		pe_neck1	Brudzinski's sign	standardmedical1	
		Full Female		encounter_templates		pe_neck1	Kernig's sign	standardmedical1	
		Full Female		encounter_templates		pe_neck2	Thyromegaly	standardmedical1	
		Full Female		encounter_templates		pe_neck2	Thyroid nodule	standardmedical1	
		Full Female		encounter_templates		pe_resp1	Tachypnea	standardmedical1	
		Full Female		encounter_templates		pe_resp1	Use of accessory muscles	standardmedical1	
		Full Female		encounter_templates		pe_resp2	Dullness	standardmedical1	
		Full Female		encounter_templates		pe_resp3	Tactile fremitus	standardmedical1	
		Full Female		encounter_templates		pe_resp4	Rhonchi	standardmedical1	
		Full Female		encounter_templates		pe_resp4	Wheezing	standardmedical1	
		Full Female		encounter_templates		pe_resp4	Crackles	standardmedical1	
		Full Female		encounter_templates		pe_cv1	Heaves	standardmedical1	
		Full Female		encounter_templates		pe_cv1	Lifts	standardmedical1	
		Full Female		encounter_templates		pe_cv1	Thrills	standardmedical1	
		Full Female		encounter_templates		pe_cv2	Rate	standardmedical1	
		Full Female		encounter_templates		pe_cv2	Rhythm	standardmedical1	
		Full Female		encounter_templates		pe_cv2	Murmur	standardmedical1	
		Full Female		encounter_templates		pe_cv3	Bruits	standardmedical1	
		Full Female		encounter_templates		pe_cv3	Jugular venous distention	standardmedical1	
		Full Female		encounter_templates		pe_cv4	Abdominal bruits	standardmedical1	
		Full Female		encounter_templates		pe_cv4	Renal bruits	standardmedical1	
		Full Female		encounter_templates		pe_cv5	Bruits	standardmedical1	
		Full Female		encounter_templates		pe_cv6	Lower extremity edema	standardmedical1	
		Full Female		encounter_templates		pe_cv6	Homan's sign	standardmedical1	
		Full Female		encounter_templates		pe_ch1	Breasts	standardmedical1	
		Full Female		encounter_templates		pe_ch2	Nipple discharge	standardmedical1	
		Full Female		encounter_templates		pe_ch2	Axillary nodes	standardmedical1	
		Full Female		encounter_templates		pe_gi1	Abdominal Tenderness	standardmedical1	
		Full Female		encounter_templates		pe_gi1	Tympanic	standardmedical1	
		Full Female		encounter_templates		pe_gi2	Hepatomegaly	standardmedical1	
		Full Female		encounter_templates		pe_gi2	Splenomegaly	standardmedical1	
		Full Female		encounter_templates		pe_gi3	Direct inguinal hernia	standardmedical1	
		Full Female		encounter_templates		pe_gi3	Indirect inguinal hernia	standardmedical1	
		Full Female		encounter_templates		pe_gi3	Umbilical hernia	standardmedical1	
		Full Female		encounter_templates		pe_gi4	External Hemorrhoid	standardmedical1	
		Full Female		encounter_templates		pe_gi4	Internal Hemorrhoid	standardmedical1	
		Full Female		encounter_templates		pe_gu1	Cyst	standardmedical1	
		Full Female		encounter_templates		pe_gu1	Vaginal discharge	standardmedical1	
		Full Female		encounter_templates		pe_gu1	Whiff test	standardmedical1	
		Full Female		encounter_templates		pe_gu2	Swelling	standardmedical1	
		Full Female		encounter_templates		pe_gu3	Tenderness	standardmedical1	
		Full Female		encounter_templates		pe_gu4	Tenderness	standardmedical1	
		Full Female		encounter_templates		pe_gu4	Bleeding	standardmedical1	
		Full Female		encounter_templates		pe_gu5	Masses	standardmedical1	
		Full Female		encounter_templates		pe_gu5	Prolapse	standardmedical1	
		Full Female		encounter_templates		pe_gu6	Masses	standardmedical1	
		Full Female		encounter_templates		pe_gu6	Tenderness	standardmedical1	
		Full Female		encounter_templates		pe_gu7	Masses	standardmedical1	
		Full Female		encounter_templates		pe_gu7	Tenderness	standardmedical1	
		Full Female		encounter_templates		pe_lymph1	Cervical lymphadenopathy	standardmedical1	
		Full Female		encounter_templates		pe_lymph2	Axillary lymphadenopathy	standardmedical1	
		Full Female		encounter_templates		pe_lymph3	Inguinal lymphadenopathy	standardmedical1	
		Full Female		encounter_templates		pe_ms1	Gait	standardmedical1	
		Full Female		encounter_templates		pe_ms2	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms2	Ingrown nail	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Flexion (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Extension (0-50 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Abduction (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Adduction (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Medial rotation (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Lateral rotation (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Supraspinatus testing	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Neer's testing	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Hawkins' testing	standardmedical1	
		Full Female		encounter_templates		pe_ms3	Apprehension testing	standardmedical1	
		Full Female		encounter_templates		pe_ms4	Flexion (0-160 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms4	Extension (0-145 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms4	Pronation (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Flexion (0-160 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Extension (0-145 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Abduction (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Adduction (0-90 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Ulnar deviation (0-25 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Radial deviation (0-20 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms5	Finkelstein's testing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Thumb MCP flexion (0-70 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Thumb MCP extension (0-60 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Thumb MCP abduction (0-50 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Thumb MCP adduction (0-40 degrees)	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
		Full Female		encounter_templates		pe_ms6	Clubbing	standardmedical1	
